paperId,title,abstract,clean_abstract
f9d403c58db99e2214f43e5b1740694b9c79002f,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large","Increasingly larger number of software systems today are including data science components for descriptive, predictive, and prescriptive analytics. The collection of data science stages from acquisition, to cleaning/curation, to modeling, and so on are referred to as data science pipelines. To facilitate research and practice on data science pipelines, it is essential to understand their nature. What are the typical stages of a data science pipeline? How are they connected? Do the pipelines differ in the theoretical representations and that in the practice? Today we do not fully understand these architectural characteristics of data science pipelines. In this work, we present a three-pronged comprehensive study to answer this for the state-of-the-art, data science in-the-small, and data science in-the-large, Our study analyzes three datasets: a collection of 71 proposals for data science pipelines and related concepts in theory, a collection of over 105 implementations of curated data science pipelines from Kaggle competitions to understand data science in-the-small, and a collection of 21 mature data science projects from GitHub to understand data science in-the-large. Our study has led to three representations of data science pipelines that capture the essence of our subjects in theory, in-the-small, and in-the-large.",increasingli larger number softwar system today includ data scienc compon descript predict prescript analyt collect data scienc stage acquisit cleaningcur model refer data scienc pipelin facilit research practic data scienc pipelin essenti understand natur typic stage data scienc pipelin connect pipelin differ theoret represent practic today fulli understand architectur characterist data scienc pipelin work present threeprong comprehens studi answer stateoftheart data scienc inthesmal data scienc inthelarg studi analyz three dataset collect propos data scienc pipelin relat concept theori collect implement curat data scienc pipelin kaggl competit understand data scienc inthesmal collect matur data scienc project github understand data scienc inthelarg studi led three represent data scienc pipelin captur essenc subject theori inthesmal inthelarg
3df3bacc84593e9efb86d2c4d3ce30463048159f,Data Science,,nan
2d6adb9636df5a8a5dbcbfaecd0c4d34d7c85034,Spectral Methods for Data Science: A Statistical Perspective,"Spectral methods have emerged as a simple yet surprisingly effective approach for extracting information from massive, noisy and incomplete data. In a nutshell, spectral methods refer to a collection of algorithms built upon the eigenvalues (resp. singular values) and eigenvectors (resp. singular vectors) of some properly designed matrices constructed from data. A diverse array of applications have been found in machine learning, data science, and signal processing. Due to their simplicity and effectiveness, spectral methods are not only used as a stand-alone estimator, but also frequently employed to initialize other more sophisticated algorithms to improve performance. 
While the studies of spectral methods can be traced back to classical matrix perturbation theory and methods of moments, the past decade has witnessed tremendous theoretical advances in demystifying their efficacy through the lens of statistical modeling, with the aid of non-asymptotic random matrix theory. This monograph aims to present a systematic, comprehensive, yet accessible introduction to spectral methods from a modern statistical perspective, highlighting their algorithmic implications in diverse large-scale applications. In particular, our exposition gravitates around several central questions that span various applications: how to characterize the sample efficiency of spectral methods in reaching a target level of statistical accuracy, and how to assess their stability in the face of random noise, missing data, and adversarial corruptions? In addition to conventional $\ell_2$ perturbation analysis, we present a systematic $\ell_{\infty}$ and $\ell_{2,\infty}$ perturbation theory for eigenspace and singular subspaces, which has only recently become available owing to a powerful ""leave-one-out"" analysis framework.",spectral method emerg simpl yet surprisingli effect approach extract inform massiv noisi incomplet data nutshel spectral method refer collect algorithm built upon eigenvalu resp singular valu eigenvector resp singular vector properli design matric construct data divers array applic found machin learn data scienc signal process due simplic effect spectral method use standalon estim also frequent employ initi sophist algorithm improv perform studi spectral method trace back classic matrix perturb theori method moment past decad wit tremend theoret advanc demystifi efficaci len statist model aid nonasymptot random matrix theori monograph aim present systemat comprehens yet access introduct spectral method modern statist perspect highlight algorithm implic divers largescal applic particular exposit gravit around sever central question span variou applic character sampl effici spectral method reach target level statist accuraci assess stabil face random nois miss data adversari corrupt addit convent ell_ perturb analysi present systemat ell_infti ell_infti perturb theori eigenspac singular subspac recent becom avail owe power leaveoneout analysi framework
8bba999de25bfb288b3f7f88e1d907aab02638b6,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning,"By combining metal nodes with organic linkers we can potentially synthesize millions of possible metal–organic frameworks (MOFs). The fact that we have so many materials opens many exciting avenues but also create new challenges. We simply have too many materials to be processed using conventional, brute force, methods. In this review, we show that having so many materials allows us to use big-data methods as a powerful technique to study these materials and to discover complex correlations. The first part of the review gives an introduction to the principles of big-data science. We show how to select appropriate training sets, survey approaches that are used to represent these materials in feature space, and review different learning architectures, as well as evaluation and interpretation strategies. In the second part, we review how the different approaches of machine learning have been applied to porous materials. In particular, we discuss applications in the field of gas storage and separation, the stability of these materials, their electronic properties, and their synthesis. Given the increasing interest of the scientific community in machine learning, we expect this list to rapidly expand in the coming years.",combin metal node organ linker potenti synthes million possibl metalorgan framework mof fact mani materi open mani excit avenu also creat new challeng simpli mani materi process use convent brute forc method review show mani materi allow us use bigdata method power techniqu studi materi discov complex correl first part review give introduct principl bigdata scienc show select appropri train set survey approach use repres materi featur space review differ learn architectur well evalu interpret strategi second part review differ approach machin learn appli porou materi particular discuss applic field ga storag separ stabil materi electron properti synthesi given increas interest scientif commun machin learn expect list rapidli expand come year
f9b0b10713044c146caa84704b66804aa1e82d5e,Automating data science,"Given the complexity of data science projects and related demand for human expertise, automation has the potential to transform the data science process.",given complex data scienc project relat demand human expertis autom potenti transform data scienc process
c13147ef0b86d5ec833c272840f8f3bdacf96e7f,Data science: a game changer for science and innovation,,nan
ab8ba0f2d290a8e56eb61e10027d0b2e57d2d544,"How do Data Science Workers Collaborate? Roles, Workflows, and Tools","Today, the prominence of data science within organizations has given rise to teams of data science workers collaborating on extracting insights from data, as opposed to individual data scientists working alone. However, we still lack a deep understanding of how data science workers collaborate in practice. In this work, we conducted an online survey with 183 participants who work in various aspects of data science. We focused on their reported interactions with each other (e.g., managers with engineers) and with different tools (e.g., Jupyter Notebook). We found that data science teams are extremely collaborative and work with a variety of stakeholders and tools during the six common steps of a data science workflow (e.g., clean data and train model). We also found that the collaborative practices workers employ, such as documentation, vary according to the kinds of tools they use. Based on these findings, we discuss design implications for supporting data science team collaborations and future research directions.",today promin data scienc within organ given rise team data scienc worker collabor extract insight data oppos individu data scientist work alon howev still lack deep understand data scienc worker collabor practic work conduct onlin survey particip work variou aspect data scienc focus report interact eg manag engin differ tool eg jupyt notebook found data scienc team extrem collabor work varieti stakehold tool six common step data scienc workflow eg clean data train model also found collabor practic worker employ document vari accord kind tool use base find discuss design implic support data scienc team collabor futur research direct
0751d2fa3a54cbbb4d594f2ee47c3aa7e4003a24,Leveraging Data Science to Combat COVID-19: A Comprehensive Review,"COVID-19, an infectious disease caused by the SARS-CoV-2 virus, was declared a pandemic by the World Health Organisation (WHO) in March 2020. By mid-August 2020, more than 21 million people have tested positive worldwide. Infections have been growing rapidly and tremendous efforts are being made to fight the disease. In this paper, we attempt to systematise the various COVID-19 research activities leveraging data science, where we define data science broadly to encompass the various methods and tools—including those from artificial intelligence (AI), machine learning (ML), statistics, modeling, simulation, and data visualization—that can be used to store, process, and extract insights from data. In addition to reviewing the rapidly growing body of recent research, we survey public datasets and repositories that can be used for further work to track COVID-19 spread and mitigation strategies. As part of this, we present a bibliometric analysis of the papers produced in this short span of time. Finally, building on these insights, we highlight common challenges and pitfalls observed across the surveyed works. We also created a live resource repository at https://github.com/Data-Science-and-COVID-19/Leveraging-Data-Science-To-Combat-COVID-19-A-Comprehensive-Review that we intend to keep updated with the latest resources including new papers and datasets.",covid infecti diseas caus sarscov viru declar pandem world health organis march midaugust million peopl test posit worldwid infect grow rapidli tremend effort made fight diseas paper attempt systematis variou covid research activ leverag data scienc defin data scienc broadli encompass variou method toolsinclud artifici intellig ai machin learn ml statist model simul data visualizationthat use store process extract insight data addit review rapidli grow bodi recent research survey public dataset repositori use work track covid spread mitig strategi part present bibliometr analysi paper produc short span time final build insight highlight common challeng pitfal observ across survey work also creat live resourc repositori httpsgithubcomdatascienceandcovidleveragingdatasciencetocombatcovidacomprehensivereview intend keep updat latest resourc includ new paper dataset
1ba044d3d501dddd94b479aa9dbe55a93bfa9d5f,"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science","We present QIIME 2, an open-source microbiome data science platform accessible to users spanning the microbiome research ecosystem, from scientists and engineers to clinicians and policy makers. QIIME 2 provides new features that will drive the next generation of microbiome research. These include interactive spatial and temporal analysis and visualization tools, support for metabolomics and shotgun metagenomics analysis, and automated data provenance tracking to ensure reproducible, transparent microbiome data science.",present qiim opensourc microbiom data scienc platform access user span microbiom research ecosystem scientist engin clinician polici maker qiim provid new featur drive next gener microbiom research includ interact spatial tempor analysi visual tool support metabolom shotgun metagenom analysi autom data proven track ensur reproduc transpar microbiom data scienc
f42c69dbd792155fee6f4d2c525971f8d43f138b,Finding Related Tables in Data Lakes for Interactive Data Science,"Many modern data science applications build on data lakes, schema-agnostic repositories of data files and data products that offer limited organization and management capabilities. There is a need to build data lake search capabilities into data science environments, so scientists and analysts can find tables, schemas, workflows, and datasets useful to their task at hand. We develop search and management solutions for the Jupyter Notebook data science platform, to enable scientists to augment training data, find potential features to extract, clean data, and find joinable or linkable tables. Our core methods also generalize to other settings where computational tasks involve execution of programs or scripts.",mani modern data scienc applic build data lake schemaagnost repositori data file data product offer limit organ manag capabl need build data lake search capabl data scienc environ scientist analyst find tabl schema workflow dataset use task hand develop search manag solut jupyt notebook data scienc platform enabl scientist augment train data find potenti featur extract clean data find joinabl linkabl tabl core method also gener set comput task involv execut program script
5b9ea2abf1c5a04b3024367409284edceb741ef2,A new paradigm for accelerating clinical data science at Stanford Medicine,"Stanford Medicine is building a new data platform for our academic research community to do better clinical data science. Hospitals have a large amount of patient data and researchers have demonstrated the ability to reuse that data and AI approaches to derive novel insights, support patient care, and improve care quality. However, the traditional data warehouse and Honest Broker approaches that are in current use, are not scalable. We are establishing a new secure Big Data platform that aims to reduce time to access and analyze data. In this platform, data is anonymized to preserve patient data privacy and made available preparatory to Institutional Review Board (IRB) submission. Furthermore, the data is standardized such that analysis done at Stanford can be replicated elsewhere using the same analytical code and clinical concepts. Finally, the analytics data warehouse integrates with a secure data science computational facility to support large scale data analytics. The ecosystem is designed to bring the modern data science community to highly sensitive clinical data in a secure and collaborative big data analytics environment with a goal to enable bigger, better and faster science.",stanford medicin build new data platform academ research commun better clinic data scienc hospit larg amount patient data research demonstr abil reus data ai approach deriv novel insight support patient care improv care qualiti howev tradit data warehous honest broker approach current use scalabl establish new secur big data platform aim reduc time access analyz data platform data anonym preserv patient data privaci made avail preparatori institut review board irb submiss furthermor data standard analysi done stanford replic elsewher use analyt code clinic concept final analyt data warehous integr secur data scienc comput facil support larg scale data analyt ecosystem design bring modern data scienc commun highli sensit clinic data secur collabor big data analyt environ goal enabl bigger better faster scienc
a4b6f802b3f416fb1af6d723e0549c5e6d34faae,Data science in economics: comprehensive review of advanced machine learning and deep learning methods,"This paper provides a state-of-the-art investigation of advances in data science in emerging economic applications. The analysis was performed on novel data science methods in four individual classes of deep learning models, hybrid deep learning models, hybrid machine learning, and ensemble models. Application domains include a wide and diverse range of economics research from the stock market, marketing, and e-commerce to corporate banking and cryptocurrency. Prisma method, a systematic literature review methodology, was used to ensure the quality of the survey. The findings reveal that the trends follow the advancement of hybrid models, which, based on the accuracy metric, outperform other learning algorithms. It is further expected that the trends will converge toward the advancements of sophisticated hybrid deep learning models.",paper provid stateoftheart investig advanc data scienc emerg econom applic analysi perform novel data scienc method four individu class deep learn model hybrid deep learn model hybrid machin learn ensembl model applic domain includ wide divers rang econom research stock market market ecommerc corpor bank cryptocurr prisma method systemat literatur review methodolog use ensur qualiti survey find reveal trend follow advanc hybrid model base accuraci metric outperform learn algorithm expect trend converg toward advanc sophist hybrid deep learn model
7dcd9585d08eb40f043ae2ffccb86897a6a031e6,Supervised and Unsupervised Learning for Data Science,,nan
648ba966b63975c6859e1948ae3ddc30053884e4,Making data science systems work,"How are data science systems made to work? It may seem that whether a system works is a function of its technical design, but it is also accomplished through ongoing forms of discretionary work by many actors. Based on six months of ethnographic fieldwork with a corporate data science team, we describe how actors involved in a corporate project negotiated what work the system should do, how it should work, and how to assess whether it works. These negotiations laid the foundation for how, why, and to what extent the system ultimately worked. We describe three main findings. First, how already-existing technologies are essential reference points to determine how and whether systems work. Second, how the situated resolution of development challenges continually reshapes the understanding of how and whether systems work. Third, how business goals, and especially their negotiated balance with data science imperatives, affect a system’s working. We conclude with takeaways for critical data studies, orienting researchers to focus on the organizational and cultural aspects of data science, the third-party platforms underlying data science systems, and ways to engage with practitioners’ imagination of how systems can and should work.",data scienc system made work may seem whether system work function technic design also accomplish ongo form discretionari work mani actor base six month ethnograph fieldwork corpor data scienc team describ actor involv corpor project negoti work system work assess whether work negoti laid foundat extent system ultim work describ three main find first alreadyexist technolog essenti refer point determin whether system work second situat resolut develop challeng continu reshap understand whether system work third busi goal especi negoti balanc data scienc imper affect system work conclud takeaway critic data studi orient research focu organiz cultur aspect data scienc thirdparti platform underli data scienc system way engag practition imagin system work
12f62537251cf8eb76fa11c59df68d2211008898,Big Earth Data science: an information framework for a sustainable planet,"ABSTRACT The digital transformation of our society coupled with the increasing exploitation of natural resources makes sustainability challenges more complex and dynamic than ever before. These changes will unlikely stop or even decelerate in the near future. There is an urgent need for a new scientific approach and an advanced form of evidence-based decision-making towards the benefit of society, the economy, and the environment. To understand the impacts and interrelationships between humans as a society and natural Earth system processes, we propose a new engineering discipline, Big Earth Data science. This science is called to provide the methodologies and tools to generate knowledge from diverse, numerous, and complex data sources necessary to ensure a sustainable human society essential for the preservation of planet Earth. Big Earth Data science aims at utilizing data from Earth observation and social sensing and develop theories for understanding the mechanisms of how such a social-physical system operates and evolves. The manuscript introduces the universe of discourse characterizing this new science, its foundational paradigms and methodologies, and a possible technological framework to be implemented by applying an ecosystem approach. CASEarth and GEOSS are presented as examples of international implementation attempts. Conclusions discuss important challenges and collaboration opportunities.",abstract digit transform societi coupl increas exploit natur resourc make sustain challeng complex dynam ever chang unlik stop even deceler near futur urgent need new scientif approach advanc form evidencebas decisionmak toward benefit societi economi environ understand impact interrelationship human societi natur earth system process propos new engin disciplin big earth data scienc scienc call provid methodolog tool gener knowledg divers numer complex data sourc necessari ensur sustain human societi essenti preserv planet earth big earth data scienc aim util data earth observ social sens develop theori understand mechan socialphys system oper evolv manuscript introduc univers discours character new scienc foundat paradigm methodolog possibl technolog framework implement appli ecosystem approach casearth geoss present exampl intern implement attempt conclus discuss import challeng collabor opportun
82620503cacf8ff6f8f3490e7bdf7508f1ab2021,Opening practice: supporting reproducibility and critical spatial data science,,nan
deb4e0c46f2e389ec5e4528f9dcee643bb6a15fa,Fixed Point Strategies in Data Science,"The goal of this article is to promote the use of fixed point strategies in data science by showing that they provide a simplifying and unifying framework to model, analyze, and solve a great variety of problems. They are seen to constitute a natural environment to explain the behavior of advanced convex optimization methods as well as of recent nonlinear methods in data science which are formulated in terms of paradigms that go beyond minimization concepts and involve constructs such as Nash equilibria or monotone inclusions. We review the pertinent tools of fixed point theory and describe the main state-of-the-art algorithms for provenly convergent fixed point construction. We also incorporate additional ingredients such as stochasticity, block-implementations, and non-Euclidean metrics, which provide further enhancements. Applications to signal and image processing, machine learning, statistics, neural networks, and inverse problems are discussed.",goal articl promot use fix point strategi data scienc show provid simplifi unifi framework model analyz solv great varieti problem seen constitut natur environ explain behavior advanc convex optim method well recent nonlinear method data scienc formul term paradigm go beyond minim concept involv construct nash equilibria monoton inclus review pertin tool fix point theori describ main stateoftheart algorithm provenli converg fix point construct also incorpor addit ingredi stochast blockimplement noneuclidean metric provid enhanc applic signal imag process machin learn statist neural network invers problem discuss
398b154013db9d8025bf60f910bc156dedd9b40e,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation","With the rise of big data, there has been an increasing need for practitioners in this space and an increasing opportunity for researchers to understand their workflows and design new tools to improve it. Data science is often described as data-driven, comprising unambiguous data and proceeding through regularized steps of analysis. However, this view focuses more on abstract processes, pipelines, and workflows, and less on how data science workers engage with the data. In this paper, we build on the work of other CSCW and HCI researchers in describing the ways that scientists, scholars, engineers, and others work with their data, through analyses of interviews with 21 data science professionals. We set five approaches to data along a dimension of interventions: Data as given; as captured; as curated; as designed; and as created. Data science workers develop an intuitive sense of their data and processes, and actively shape their data. We propose new ways to apply these interventions analytically, to make sense of the complex activities around data practices.",rise big data increas need practition space increas opportun research understand workflow design new tool improv data scienc often describ datadriven compris unambigu data proceed regular step analysi howev view focus abstract process pipelin workflow less data scienc worker engag data paper build work cscw hci research describ way scientist scholar engin other work data analys interview data scienc profession set five approach data along dimens intervent data given captur curat design creat data scienc worker develop intuit sens data process activ shape data propos new way appli intervent analyt make sens complex activ around data practic
